Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
Andaqui,1,1.0,0.0,0.0,1.0,1.0,0.3725
ISOLATE_OR_UNKNOWN__BULARNU,1,1.0,0.0,0.0,1.0,1.0,0.3458333333333333
Cofán,1,1.0,0.0,0.0,1.0,1.0,0.3591666666666667
ISOLATE_OR_UNKNOWN__DAO_SICHUAN_YAJIANG,1,1.0,0.0,0.0,1.0,1.0,0.305
ISOLATE_OR_UNKNOWN__DHUDHUROA,1,1.0,0.0,0.0,1.0,1.0,0.32416666666666666
ISOLATE_OR_UNKNOWN__DRAG_YAB,1,1.0,0.0,0.0,1.0,1.0,0.32666666666666666
ISOLATE_OR_UNKNOWN__DUOXU,1,1.0,0.0,0.0,1.0,1.0,0.3308333333333333
Fulniô,1,1.0,0.0,0.0,1.0,1.0,0.35833333333333334
Guató,1,1.0,0.0,0.0,1.0,1.0,0.32166666666666666
ISOLATE_OR_UNKNOWN__GUINAU,1,1.0,0.0,0.0,1.0,1.0,0.33666666666666667
Hadza,1,1.0,0.0,0.0,1.0,1.0,0.3625
Itonama,1,1.0,0.0,0.0,1.0,1.0,0.32
Kaki Ae,1,1.0,0.0,0.0,1.0,1.0,0.295
Unclassifiable,1,1.0,0.0,0.0,1.0,1.0,0.36
Kwaza,1,1.0,0.0,0.0,1.0,1.0,0.34
ISOLATE_OR_UNKNOWN__LAMEI,1,1.0,0.0,0.0,1.0,1.0,0.31416666666666665
ISOLATE_OR_UNKNOWN__LIZU,1,1.0,0.0,0.0,1.0,1.0,0.32916666666666666
ISOLATE_OR_UNKNOWN__LOJBAN,1,1.0,0.0,0.0,1.0,1.0,0.31
Máku,1,1.0,0.0,0.0,1.0,1.0,0.37333333333333335
ISOLATE_OR_UNKNOWN__NGONI,1,1.0,0.0,0.0,1.0,1.0,0.32666666666666666
ISOLATE_OR_UNKNOWN__NGONI_3,1,1.0,0.0,0.0,1.0,1.0,0.29833333333333334
ISOLATE_OR_UNKNOWN__OOKU,1,1.0,0.0,0.0,1.0,1.0,0.32916666666666666
Pirahã,1,1.0,0.0,0.0,1.0,1.0,0.3408333333333333
