,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.78,0.046,0.69,0.868,0.001,0.0,6479.0,7685.0,1.0
beta_lat,-0.072,0.026,-0.122,-0.02,0.0,0.0,12580.0,8251.0,1.0
sigma_family,0.993,0.054,0.891,1.102,0.001,0.001,2992.0,4630.0,1.0
macro_raw[0],0.508,0.32,-0.111,1.147,0.005,0.003,4322.0,5391.0,1.0
macro_raw[1],-0.363,0.359,-1.05,0.346,0.005,0.004,4575.0,5563.0,1.0
macro_raw[2],-0.163,0.318,-0.784,0.467,0.005,0.003,4355.0,4714.0,1.0
macro_raw[3],-0.528,0.326,-1.14,0.139,0.005,0.003,4395.0,5597.0,1.0
macro_raw[4],0.063,0.319,-0.567,0.683,0.005,0.003,4247.0,5609.0,1.0
macro_raw[5],0.481,0.324,-0.158,1.111,0.005,0.003,4432.0,5013.0,1.0
phi,2.516,0.04,2.438,2.595,0.0,0.0,17156.0,6998.0,1.0
