,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.115,0.166,0.799,1.444,0.003,0.002,4292.0,5661.0,1.0
macro_intercept_raw[0],0.724,0.407,-0.066,1.525,0.008,0.005,2852.0,4507.0,1.0
macro_intercept_raw[1],-0.811,0.415,-1.617,-0.013,0.008,0.004,2844.0,4203.0,1.0
macro_intercept_raw[2],-0.334,0.692,-1.683,1.012,0.009,0.006,5917.0,6856.0,1.0
macro_intercept_raw[3],0.197,0.384,-0.565,0.945,0.007,0.004,2714.0,4467.0,1.0
macro_intercept_raw[4],0.174,0.4,-0.625,0.94,0.007,0.005,2854.0,4604.0,1.0
macro_slope[0],0.242,0.066,0.114,0.371,0.001,0.001,6914.0,7392.0,1.0
macro_slope[1],0.239,0.096,0.056,0.433,0.001,0.001,7165.0,6698.0,1.0
macro_slope[2],0.206,0.709,-1.16,1.577,0.007,0.007,9108.0,7207.0,1.0
macro_slope[3],0.545,0.052,0.443,0.647,0.001,0.0,8970.0,7332.0,1.0
macro_slope[4],-0.119,0.072,-0.263,0.017,0.001,0.001,4712.0,6786.0,1.0
sigma_family,0.999,0.074,0.858,1.143,0.002,0.001,2218.0,4271.0,1.0
phi,2.317,0.062,2.193,2.441,0.001,0.001,9108.0,8177.0,1.0
