Family,n_languages,n_exact_one,share_exact_one,mean_rate,median_n_total,mean_abs_latitude,database,share_of_all_boundary_languages
Atlantic-Congo,2380,931,0.3911764705882353,0.7927941373902914,39.0,7.09172268907563,ASJP,0.44439140811455846
Austronesian,1533,350,0.228310502283105,0.6528071897646994,36.0,9.173600782778864,ASJP,0.16706443914081145
Nuclear Trans New Guinea,408,65,0.15931372549019607,0.6488923407337208,40.0,5.720490196078432,ASJP,0.031026252983293555
Sino-Tibetan,995,62,0.062311557788944726,0.6757202598905183,43.0,27.846442211055276,ASJP,0.029594272076372316
Central Sudanic,125,56,0.448,0.9234647488960201,49.0,5.3463199999999995,ASJP,0.02673031026252983
Mande,136,47,0.34558823529411764,0.9199557291018765,40.0,10.417426470588236,ASJP,0.02243436754176611
Pama-Nyungan,212,47,0.22169811320754718,0.7549626072166783,42.5,22.9236320754717,ASJP,0.02243436754176611
Otomanguean,131,42,0.32061068702290074,0.7568882162215452,41.0,17.827786259541984,ASJP,0.020047732696897375
Arawakan,61,38,0.6229508196721312,0.9172658139459396,39.0,8.044918032786885,ASJP,0.018138424821002388
Ijoid,38,31,0.8157894736842105,0.9845466801139348,40.0,4.849473684210526,ASJP,0.014797136038186158
Tucanoan,32,30,0.9375,0.9983506944444445,42.5,0.7615625,ASJP,0.014319809069212411
Kru,33,28,0.8484848484848485,0.9944239389950058,40.0,5.7290909090909095,ASJP,0.013365155131264916
Eleman,18,18,1.0,1.0,40.5,7.917222222222222,ASJP,0.008591885441527447
Afro-Asiatic,488,17,0.03483606557377049,0.5418708743668795,39.0,14.761516393442623,ASJP,0.008114558472553698
Lakes Plain,31,15,0.4838709677419355,0.9230053195303286,37.0,2.97741935483871,ASJP,0.007159904534606206
Tupian,58,12,0.20689655172413793,0.7664518337207461,36.0,10.252413793103448,ASJP,0.005727923627684964
Uto-Aztecan,80,12,0.15,0.6108861259491312,36.0,25.465,ASJP,0.005727923627684964
South Bird's Head,18,10,0.5555555555555556,0.9752576176133592,38.5,1.9855555555555557,ASJP,0.00477326968973747
Koiarian,17,9,0.5294117647058824,0.94944666182463,58.0,9.217647058823529,ASJP,0.0042959427207637235
Huitotoan,10,8,0.8,0.982257448433919,42.5,1.542,ASJP,0.0038186157517899762
Kiwaian,11,8,0.7272727272727273,0.9939480862820634,39.0,7.991818181818181,ASJP,0.0038186157517899762
Indo-European,576,8,0.013888888888888888,0.48664669083101564,41.0,36.11088541666666,ASJP,0.0038186157517899762
Aymaran,9,7,0.7777777777777778,0.9943732193732193,40.0,15.666666666666666,ASJP,0.003341288782816229
Mailuan,12,7,0.5833333333333334,0.9709447045202859,43.5,10.170833333333333,ASJP,0.003341288782816229
Chocoan,9,6,0.6666666666666666,0.9318261818001538,39.0,5.323333333333333,ASJP,0.002863961813842482
