Family,n_languages,n_words,mean_abs_latitude
Atlantic-Congo,2489,123449,7.115170751305746
Austronesian,1556,63482,9.191060411311053
Sino-Tibetan,1019,53353,27.818341511285574
Indo-European,648,31684,35.58462962962963
Afro-Asiatic,533,21710,14.854333958724203
Nuclear Trans New Guinea,421,22634,5.779691211401425
ISOLATE_OR_UNKNOWN,278,11434,20.999676258992807
Tai-Kadai,226,11305,23.014778761061947
Pama-Nyungan,216,11495,23.014861111111113
Otomanguean,213,6952,17.6275117370892
Austroasiatic,205,9409,17.535414634146342
Nuclear Torricelli,148,11430,3.5331756756756754
Mande,144,7738,10.508402777777778
Central Sudanic,132,7340,5.506136363636363
Hmong-Mien,113,4821,24.830530973451328
Mayan,109,7499,15.650825688073395
Dravidian,87,5161,15.699655172413792
Uto-Aztecan,80,3301,25.465
Turkic,78,3655,43.225
Uralic,66,4740,61.36681818181818
Timor-Alor-Pantar,66,2808,8.341666666666667
Dogon,64,3813,14.53796875
Arawakan,64,2585,7.77515625
Quechuan,62,2369,8.287419354838711
Nilotic,62,2779,4.187903225806451
Nakh-Daghestanian,61,3104,42.22688524590164
Tupian,59,2307,10.112542372881355
Sepik,55,3516,4.254909090909091
Athabaskan-Eyak-Tlingit,51,2127,53.00078431372549
Algic,46,1842,46.47086956521739
Ta-Ne-Omotic,42,2481,6.8497619047619045
Ramu,40,2669,4.4375
Ijoid,38,1608,4.849473684210526
Kru,37,1612,5.81
Japonic,34,1583,27.62235294117647
Mongolic-Khitan,33,1621,41.55848484848485
Pano-Tacanan,33,1482,9.19
Lakes Plain,33,1559,2.9993939393939395
Tucanoan,32,1477,0.7615625
Cariban,32,1238,5.3765625
Salishan,31,2888,48.581935483870964
Tungusic,29,1377,51.36965517241379
Mixe-Zoque,27,2407,17.226296296296297
Yam,25,1394,8.579600000000001
North Halmahera,23,949,1.1495652173913042
Ainu,23,998,44.68130434782609
Chibchan,23,1185,9.41
Sko,23,1309,2.827391304347826
Nuclear-Macro-Je,22,941,12.719090909090909
Ndu,22,1351,3.9936363636363637
Anim,20,1375,7.5584999999999996
Tor-Orya,20,855,2.2800000000000002
Eastern Trans-Fly,19,852,8.89
Angan,18,931,7.223888888888889
Siouan,18,998,41.67444444444445
South Bird's Head,18,862,1.9855555555555557
Bookkeeping,18,872,16.096666666666668
Eleman,18,856,7.917222222222222
Dagan,17,937,9.75235294117647
Eskimo-Aleut,17,897,62.2535294117647
Koiarian,17,1085,9.217647058823529
Mailuan,16,631,10.175
Keram,16,1175,4.269375
Border,16,678,3.135
Khoe-Kwadi,16,767,22.725
Left May,15,727,4.268666666666666
Nubian,15,560,16.290666666666667
Lower Sepik,15,633,4.212
Surmic,14,682,5.8221428571428575
Songhay,14,723,15.45857142857143
Gunwinyguan,14,581,13.13642857142857
Greater Kwerba,13,629,2.0723076923076924
Cochimi-Yuman,13,685,32.83769230769231
Saharan,12,730,14.895000000000001
Sentanic,12,636,2.4116666666666666
Bosavi,12,688,6.4075
Miwok-Costanoan,11,493,38.07272727272727
Pauwasi,11,662,3.651818181818182
Geelvink Bay,11,603,2.74
Kiwaian,11,782,7.991818181818181
Tuu,11,435,25.202727272727273
Heibanic,11,454,11.075454545454546
Kadugli-Krongo,11,412,10.916363636363636
Chocoan,10,569,5.353
Burushaski,10,395,36.5
Mirndi,10,634,16.779
Narrow Talodi,10,470,10.726
Yuat,10,487,4.423
Nimboranic,10,479,2.5759999999999996
East Strickland,10,661,6.1899999999999995
Great Andamanese,10,484,12.434999999999999
Iroquoian,10,474,41.162
Huitotoan,10,699,1.542
Totonacan,10,893,20.296
West Bird's Head,9,379,1.2133333333333334
Western Daly,9,259,13.726666666666667
Yanomamic,9,454,3.267777777777778
Dizoid,9,531,6.697777777777778
Aymaran,9,364,15.666666666666666
Dajuic,9,351,11.132222222222222
Blue Nile Mao,9,508,9.685555555555556
Yeniseian,9,511,60.04222222222222
Suki-Gogodala,8,397,8.03
Kunimaipan,8,451,7.8100000000000005
Kiowa-Tanoan,8,346,36.1025
Yawa-Saweru,8,299,1.77125
Mataguayan,8,379,23.3125
Kayagaric,8,453,6.3525
Arawan,8,429,6.6025
Baining,8,608,4.61125
Arafundi,7,399,4.782857142857144
South Omotic,7,309,5.574285714285715
Chukotko-Kamchatkan,7,783,60.714285714285715
Wakashan,7,311,50.582857142857144
Abkhaz-Adyge,7,419,43.96857142857142
Kaure-Kosare,7,516,3.5500000000000003
Kxa,7,323,21.095714285714287
Koman,7,270,8.794285714285715
Pomoan,7,303,39.04714285714285
Pidgin,7,193,22.138571428571428
Nivkh,7,412,53.33
Caddoan,7,390,37.04571428571428
Chumashan,6,308,34.445
Guahiboan,6,267,5.721666666666667
Turama-Kikori,6,431,7.325
Teberan,6,442,6.8566666666666665
Kolopom,6,298,7.8066666666666675
Kuliak,6,330,3.466666666666667
Kwalean,6,465,9.673333333333334
Kartvelian,6,349,42.083333333333336
Speech Register,6,192,39.82333333333333
Chicham,6,348,3.6666666666666665
Eastern Jebel,6,253,11.158333333333333
Muskogean,6,591,33.235
Nyulnyulan,6,193,17.496666666666666
Manubaran,6,432,9.633333333333333
Damal,6,260,4.0
Mangarrayi-Maran,5,297,14.886000000000001
Yareban,5,505,9.504000000000001
Walioic,5,267,4.529999999999999
Barbacoan,5,512,1.634
Zaparoan,5,189,2.8600000000000003
Worrorran,5,239,15.346
West Bomberai,5,335,2.936
Guaicuruan,5,371,25.5
Yetfa,5,335,4.08
Kamula-Elevala,5,306,6.5840000000000005
Konda-Yahadian,5,247,1.7240000000000002
Lepki-Murkim-Kembra,5,281,4.090000000000001
Lengua-Mascoy,5,228,22.740000000000002
Bulaka River,5,253,7.67
