Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_concepts,is_unknown_or_isolate,macroarea_id_matched,Macroarea,macroarea_exclusion_reason
ALLENTIAC,ISOLATE_OR_UNKNOWN__ALLENTIAC,-33.48,-68.1,33.48,42,32,True,False,,no_macroarea_match_by_Language_ID
ANDOQUERO,ISOLATE_OR_UNKNOWN__ANDOQUERO,-0.67,-72.31,0.67,54,54,True,False,,no_macroarea_match_by_Language_ID
ANDRO,ISOLATE_OR_UNKNOWN__ANDRO,24.75,94.03,24.75,33,33,True,False,,no_macroarea_match_by_Language_ID
ARAMAIC_ANCIENT,ISOLATE_OR_UNKNOWN__ARAMAIC_ANCIENT,35.0,37.0,35.0,50,40,True,False,,no_macroarea_match_by_Language_ID
AURAN_KULON_PAZEH,ISOLATE_OR_UNKNOWN__AURAN_KULON_PAZEH,24.15,120.63,24.15,38,34,True,False,,no_macroarea_match_by_Language_ID
AYOMAN,ISOLATE_OR_UNKNOWN__AYOMAN,10.57,-69.7,10.57,31,28,True,False,,no_macroarea_match_by_Language_ID
BALADE,ISOLATE_OR_UNKNOWN__BALADE,-20.25,164.2,20.25,42,40,True,False,,no_macroarea_match_by_Language_ID
BANGRU,ISOLATE_OR_UNKNOWN__BANGRU,27.95,93.15,27.95,42,39,True,False,,no_macroarea_match_by_Language_ID
BARRANBIYA,ISOLATE_OR_UNKNOWN__BARRANBIYA,-30.1,145.93,30.1,24,20,True,False,,no_macroarea_match_by_Language_ID
BASUM,ISOLATE_OR_UNKNOWN__BASUM,29.99,93.88,29.99,20,20,True,False,,no_macroarea_match_by_Language_ID
BETOI,ISOLATE_OR_UNKNOWN__BETOI,7.22,-71.42,7.22,21,20,True,False,,no_macroarea_match_by_Language_ID
BIGAMBAL,ISOLATE_OR_UNKNOWN__BIGAMBAL,-28.6,150.35,28.6,29,24,True,False,,no_macroarea_match_by_Language_ID
BIRRDHAWAL,ISOLATE_OR_UNKNOWN__BIRRDHAWAL,-37.05,148.93,37.05,32,27,True,False,,no_macroarea_match_by_Language_ID
BULARNU,ISOLATE_OR_UNKNOWN__BULARNU,-21.03,138.16,21.03,28,28,True,False,,no_macroarea_match_by_Language_ID
BULU_PUROIK,ISOLATE_OR_UNKNOWN__BULU_PUROIK,27.32,92.38,27.32,104,99,True,False,,no_macroarea_match_by_Language_ID
BUTAM,ISOLATE_OR_UNKNOWN__BUTAM,-4.47,152.25,4.47,46,44,True,False,,no_macroarea_match_by_Language_ID
BUU_ZARANDA,ISOLATE_OR_UNKNOWN__BUU_ZARANDA,10.23,9.52,10.23,82,73,True,False,,no_macroarea_match_by_Language_ID
CAIJIA,ISOLATE_OR_UNKNOWN__CAIJIA,19.16,115.43,19.16,39,38,True,False,,no_macroarea_match_by_Language_ID
CAMBERRA_LANGUAGE,ISOLATE_OR_UNKNOWN__CAMBERRA_LANGUAGE,-35.31,149.12,35.31,33,25,True,False,,no_macroarea_match_by_Language_ID
CARIB_1665,ISOLATE_OR_UNKNOWN__CARIB_1665,13.13,-61.22,13.13,47,33,True,False,,no_macroarea_match_by_Language_ID
CHALON,ISOLATE_OR_UNKNOWN__CHALON,36.37,-121.15,36.37,22,21,True,False,,no_macroarea_match_by_Language_ID
