Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_v_final,n_v_initial,n_concepts,mean_final_cluster,dataset,is_unknown_or_isolate,passes_concept_threshold,has_family,has_abs_latitude,in_primary_sample,Macroarea,_macroarea_merge,macroarea_id_matched,has_macroarea,in_macroarea_sample,macroarea_exclusion_reason
A51_BAFIA_MAJA,Atlantic-Congo,5.1,11.2,5.1,42,18,0,35,0.6904761904761905,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A51_BAFIA_TUMI_TINGON,Atlantic-Congo,5.1,11.2,5.1,43,25,0,36,0.4186046511627907,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A51_BAFIA_ZAKAAN,Atlantic-Congo,5.1,11.2,5.1,38,28,0,28,0.2631578947368421,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A53_BAFIA_RIKPA,Atlantic-Congo,5.0,11.17,5.0,41,23,13,36,0.43902439024390244,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A54_BAFIA_NJANTI,Atlantic-Congo,5.3,11.3,5.3,38,25,0,35,0.42105263157894735,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A60_GUNU,Atlantic-Congo,4.58,11.25,4.58,33,30,12,32,0.09090909090909091,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A60_MMAALA,Atlantic-Congo,4.5,11.08,4.5,36,31,12,33,0.16666666666666666,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A61_NGORO_ASOM,Atlantic-Congo,4.58,11.5,4.58,43,27,5,35,0.37209302325581395,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A62_KALONGE,Atlantic-Congo,4.43,11.08,4.43,47,22,15,36,0.6382978723404256,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A72a_EWONDO,Atlantic-Congo,4.0,12.0,4.0,40,17,3,37,0.575,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AASAX,Afro-Asiatic,-4.04,37.16,4.04,37,16,5,36,0.5945945945945946,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABAGA,Nuclear Trans New Guinea,-6.17,145.67,6.17,66,65,16,64,0.015151515151515152,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABANYOM,Atlantic-Congo,6.29,8.63,6.29,60,22,1,59,0.6333333333333333,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABAR,Atlantic-Congo,6.58,10.25,6.58,32,20,6,30,0.375,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABASAKUR,Nuclear Trans New Guinea,-4.77,145.23,4.77,89,52,25,84,0.4157303370786517,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABASOLO_VALLE_MIXTEC,Otomanguean,17.78,-95.54,17.78,18,18,3,18,0.0,ASJP,False,False,True,True,False,North America,both,True,True,False,fewer_than_20_concepts
ABAU,Sepik,-4.0,141.25,4.0,70,45,17,67,0.35714285714285715,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABAU_2,Sepik,-4.0,141.25,4.0,97,35,27,85,0.8247422680412371,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABAWIRI,Lakes Plain,-3.0,139.17,3.0,86,77,11,81,0.12790697674418605,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABAZA,Abkhaz-Adyge,44.0,42.0,44.0,42,37,3,39,0.14285714285714285,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABBEY,Atlantic-Congo,5.9,-4.38,5.9,91,91,31,85,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABE,Atlantic-Congo,5.83,-4.25,5.83,23,23,7,23,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABIDJI,Atlantic-Congo,5.67,-4.58,5.67,17,17,7,17,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
ABIDJI_2,Atlantic-Congo,5.67,-4.58,5.67,93,93,17,85,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABINOMN,Abinomn,-3.0,138.83,3.0,58,20,12,58,0.8103448275862069,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABIPON,Guaicuruan,-29.0,-61.0,29.0,127,46,96,84,0.7244094488188977,ASJP,False,True,True,True,True,South America,both,True,True,True,included
ABIRPARA_MAHALI,Austroasiatic,23.4,85.32,23.4,37,16,6,37,0.5675675675675675,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABKHAZ,Abkhaz-Adyge,43.08,41.0,43.08,42,35,3,39,0.2857142857142857,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABKHAZ_2,Abkhaz-Adyge,43.08,41.0,43.08,106,85,97,98,0.330188679245283,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABNAKI_EASTERN,Algic,45.0,-68.67,45.0,46,15,6,35,0.8695652173913043,ASJP,False,True,True,True,True,North America,both,True,True,True,included
ABNAKI_WESTERN,Algic,44.0,-72.25,44.0,46,24,13,39,0.5869565217391305,ASJP,False,True,True,True,True,North America,both,True,True,True,included
ABOM,Anim,-8.42,142.84,8.42,98,25,15,98,0.7551020408163265,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABON,Atlantic-Congo,6.91,10.88,6.91,13,13,3,12,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
ABRON,Atlantic-Congo,8.0,-3.0,8.0,22,21,10,21,0.045454545454545456,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABRON_2,Atlantic-Congo,7.6,-2.0,7.6,89,57,14,84,0.38202247191011235,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
