Language_ID,Family,Latitude,Longitude,n_total,n_concepts
BAYNUNK_GUJAXER,Bookkeeping,12.51,-16.0,55,38
BAYNUNK_GUJAXER_2,Bookkeeping,12.51,-16.0,51,46
BAYNUNK_GUJAXER_3,Bookkeeping,12.51,-16.0,94,54
BAYNUNK_GUJAXER_4,Bookkeeping,12.51,-16.0,63,57
BAYNUNK_GUJAXER_5,Bookkeeping,12.51,-16.0,72,65
BAYNUNK_GUJAXER_6,Bookkeeping,12.51,-16.0,81,67
BUMANG,Bookkeeping,23.02,103.34,40,39
GENGLE,Bookkeeping,9.33,12.5,21,21
IHIEE,Bookkeeping,7.0,6.1,56,52
KATUKINA,Bookkeeping,-3.6,-66.55,29,28
KEMIE_YUNNAN_MANMI,Bookkeeping,21.98,100.69,43,39
MENBA_XIZANG_CUONA,Bookkeeping,27.99,91.96,37,37
NOCAMAN,Bookkeeping,-8.92,-73.17,24,24
OLD_TURKIC,Bookkeeping,37.0,59.0,45,37
RUFIJI,Bookkeeping,-8.0,38.7,84,73
SAMRE,Bookkeeping,13.5,104.0,39,39
YI_YUNNAN_PUER_MOJIANG,Bookkeeping,23.44,101.7,37,37
