database,position,latitude_lower,latitude_upper,latitude_midpoint,latitude_label,n_languages,mean_language_rate,ci_2.5,ci_97.5
ASJP,Word-initial,0.0,10.0,5.0,0–10,5173,0.2152250941460354,0.2110637001355038,0.21932661830027395
ASJP,Word-initial,10.0,20.0,15.0,10–20,2406,0.159179740117722,0.15389881891706736,0.16444779986479546
ASJP,Word-initial,20.0,30.0,25.0,20–30,1734,0.11425244223582089,0.10834498334318877,0.12001525555500654
ASJP,Word-initial,30.0,40.0,35.0,30–40,824,0.15278595829202749,0.1442835047769871,0.16194040653303604
ASJP,Word-initial,40.0,50.0,45.0,40–50,446,0.1706377359888822,0.16146598482093188,0.1804271182194712
ASJP,Word-initial,50.0,60.0,55.0,50–60,198,0.15003403190825554,0.13598533280022654,0.1649223372931614
ASJP,Word-initial,60.0,70.0,65.0,60–70,101,0.18758901518797558,0.15906963236383884,0.21851698182800985
ASJP,Word-initial,70.0,80.0,75.0,70–80,4,0.1582115800865801,0.013392857142857142,0.303030303030303
ASJP,Word-final,0.0,10.0,5.0,0–10,5173,0.7305696323049495,0.723099269992784,0.7379690124948494
ASJP,Word-final,10.0,20.0,15.0,10–20,2406,0.636133891752837,0.6229876475959516,0.6471559377625593
ASJP,Word-final,20.0,30.0,25.0,20–30,1734,0.6283995401504375,0.6171927809233666,0.6392286981371011
ASJP,Word-final,30.0,40.0,35.0,30–40,824,0.5691170909677056,0.5527865824532857,0.5857407340165756
ASJP,Word-final,40.0,50.0,45.0,40–50,446,0.4739763118587344,0.4494205266815737,0.49801457159755896
ASJP,Word-final,50.0,60.0,55.0,50–60,198,0.4030615003730475,0.371544790000766,0.4320497064972292
ASJP,Word-final,60.0,70.0,65.0,60–70,101,0.4524489953104572,0.40691656926911157,0.5003724771906194
ASJP,Word-final,70.0,80.0,75.0,70–80,4,0.5759761072261073,0.34125874125874134,0.8092948717948718
Lexibank,Word-initial,0.0,10.0,5.0,0–10,2185,0.24102848213412734,0.23397518625192767,0.24860075585552205
Lexibank,Word-initial,10.0,20.0,15.0,10–20,1394,0.14349796369770385,0.13779186338200208,0.15019039947997243
Lexibank,Word-initial,20.0,30.0,25.0,20–30,921,0.10051185206569965,0.09386700043028778,0.10728644401398485
Lexibank,Word-initial,30.0,40.0,35.0,30–40,424,0.12135474158157825,0.111481500246992,0.1313475182162786
Lexibank,Word-initial,40.0,50.0,45.0,40–50,343,0.17575449369171106,0.16651831055302518,0.1863725885460896
Lexibank,Word-initial,50.0,60.0,55.0,50–60,162,0.15141471971914458,0.13815911223432373,0.16510128229943286
Lexibank,Word-initial,60.0,70.0,65.0,60–70,66,0.18339580729814908,0.15956232535113501,0.20847631224332336
Lexibank,Word-initial,70.0,80.0,75.0,70–80,6,0.20894139823380561,0.10903184779078344,0.30777391346565575
Lexibank,Word-final,0.0,10.0,5.0,0–10,2185,0.7603178581759449,0.7484487917891266,0.7726022860124727
Lexibank,Word-final,10.0,20.0,15.0,10–20,1394,0.6624795321542232,0.6467759124330248,0.6785085006048589
Lexibank,Word-final,20.0,30.0,25.0,20–30,921,0.672151943362668,0.6551431479452057,0.690565713161189
Lexibank,Word-final,30.0,40.0,35.0,30–40,424,0.5416175484713894,0.5188645170268583,0.5660200799714981
Lexibank,Word-final,40.0,50.0,45.0,40–50,343,0.4803310863733094,0.4542615025996995,0.5061174726819146
Lexibank,Word-final,50.0,60.0,55.0,50–60,162,0.4042560789342676,0.3773437732866918,0.43102531983118286
Lexibank,Word-final,60.0,70.0,65.0,60–70,66,0.4041409559876233,0.3608189599698108,0.4515953592883052
Lexibank,Word-final,70.0,80.0,75.0,70–80,6,0.4954939791090118,0.2864496049454666,0.7340767151625146
