database,bin,x_position,observed_share,ppc_median,ppc_2.5,ppc_97.5
ASJP,0.00–<0.05,0,0.009920999448833364,0.023148998713944515,0.020117582215689878,0.026455998530222305
ASJP,0.05–<0.10,1,0.011390777144956826,0.019658276685651295,0.017083869189785043,0.022505970971890502
ASJP,0.10–<0.15,2,0.019658276685651295,0.022138526547859635,0.01947455447363586,0.02526180415212199
ASJP,0.15–<0.20,3,0.024894359728091127,0.021495498805805622,0.018464082307550984,0.02379432298364872
ASJP,0.20–<0.25,4,0.029854859452507806,0.024435054198052544,0.021585063384163144,0.027101322799926508
ASJP,0.25–<0.30,5,0.0376630534631637,0.029211831710453794,0.025996693000183722,0.032059525996693
ASJP,0.30–<0.35,6,0.03509094249494764,0.028385081756384347,0.025445526364137425,0.0315083593606467
ASJP,0.35–<0.40,7,0.03986772000734889,0.02875252618041521,0.025902535366525814,0.03215138710270072
ASJP,0.40–<0.45,8,0.05153408047032886,0.03352930369281646,0.030497887194561823,0.03720604446077531
ASJP,0.45–<0.50,9,0.046389858533896745,0.03104905383060812,0.028201359544368913,0.03445021128054382
ASJP,0.50–<0.55,10,0.0596178577990079,0.04087819217343377,0.03729560903913283,0.04464449751975014
ASJP,0.55–<0.60,11,0.05548410802866067,0.04253169208157266,0.038671229101598384,0.04630029395553922
ASJP,0.60–<0.65,12,0.04914569171412824,0.04032702553738747,0.03674214587543634,0.043817747565680694
ASJP,0.65–<0.70,13,0.04629799742788903,0.04785963623002021,0.04353986772000735,0.052177108212382875
ASJP,0.70–<0.75,14,0.04115377549145692,0.045011941943781004,0.04124104354216425,0.049237552820135956
ASJP,0.75–<0.80,15,0.04694102516994304,0.0551166636046298,0.050613172882601504,0.05971431196031599
ASJP,0.80–<0.85,16,0.04905383060812052,0.06462428807642845,0.05952370016534999,0.06945388572478411
ASJP,0.85–<0.90,17,0.03950027558331802,0.06687488517361749,0.061820227815542896,0.07165625574131912
ASJP,0.90–<0.95,18,0.05153408047032886,0.09277971706779349,0.08781692081572663,0.0983832445342642
ASJP,0.95–<1.00,19,0.06255741319125482,0.09259599485577806,0.08745177291934594,0.0983832445342642
ASJP,=1.00,21,0.1924490170861657,0.14909057505052362,0.14136505603527466,0.1566323718537571
Lexibank,0.00–<0.05,0,0.009816397018723869,0.027631339756407927,0.022536811488820214,0.03272586802399564
Lexibank,0.05–<0.10,1,0.009089256498818397,0.021632430467187783,0.017814942737684056,0.025818033084893652
Lexibank,0.10–<0.15,2,0.016178876567896745,0.022359570987093257,0.01836029812761316,0.026722414106526086
Lexibank,0.15–<0.20,3,0.025995273586620616,0.022541356117069623,0.018901108889292854,0.02654062897654972
Lexibank,0.20–<0.25,4,0.03562988547536811,0.023995637156880568,0.020173604799127432,0.027631339756407927
Lexibank,0.25–<0.30,5,0.040174513724777317,0.02563170332666788,0.02108707507725868,0.02999454644610071
Lexibank,0.30–<0.35,6,0.03908380294491911,0.026177058716596983,0.022355026358843847,0.030539901836029813
Lexibank,0.35–<0.40,7,0.044173786584257406,0.027085984366478823,0.02271859661879658,0.03127158698418469
Lexibank,0.40–<0.45,8,0.0521723323032176,0.02926740592619524,0.02490456280676241,0.03417560443555717
Lexibank,0.45–<0.50,9,0.06507907653153971,0.02999454644610071,0.02563170332666788,0.034539174695509905
Lexibank,0.50–<0.55,10,0.05308125795309944,0.033084893655698965,0.02817215051808762,0.03781130703508453
Lexibank,0.55–<0.60,11,0.04381021632430467,0.03508453008543901,0.030171786947827666,0.04053808398473005
Lexibank,0.60–<0.65,12,0.03944737320487184,0.03617524086529722,0.031630612615888024,0.041265224504635524
Lexibank,0.65–<0.70,13,0.03253953826576986,0.040174513724777317,0.03544355571714234,0.04563261225231776
Lexibank,0.70–<0.75,14,0.02926740592619524,0.04217415015451736,0.03689783675695328,0.04744591892383203
Lexibank,0.75–<0.80,15,0.03126704235593528,0.047627704053808395,0.041987820396291585,0.053808398473004906
Lexibank,0.80–<0.85,16,0.03181239774586439,0.055262679512815854,0.04908198509361934,0.06162515906198873
Lexibank,0.85–<0.90,17,0.033630249045628065,0.06307944010179967,0.05671241592437739,0.0698100345391747
Lexibank,0.90–<0.95,18,0.04490092710416288,0.0850754408289402,0.0776177058716597,0.09198782039629158
Lexibank,0.95–<1.00,19,0.1496091619705508,0.16015269950918015,0.14997273223050356,0.17107344119251042
Lexibank,=1.00,21,0.17324122886747864,0.14524631885111797,0.13597527722232322,0.15488093073986547
