Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed,database
Nuclear Trans New Guinea,408,0.15931372549019607,0.07107843137254902,0.04411764705882353,0.10300245098039182,0.08823529411764705,0.0,ASJP
Atlantic-Congo,2380,0.3911764705882353,0.2949579831932773,0.26973739495798316,0.3197584033613445,0.09621848739495797,0.0,ASJP
Eastern Trans-Fly,19,0.10526315789473684,0.0,0.0,0.10526315789473684,0.10526315789473684,0.02666666666666667,ASJP
Otomanguean,131,0.32061068702290074,0.20610687022900764,0.12213740458015267,0.3053435114503817,0.1145038167938931,0.015,ASJP
Austronesian,1533,0.228310502283105,0.09980430528375733,0.08217547292889758,0.11873776908023474,0.12850619699934768,0.0,ASJP
Anim,20,0.2,0.05,0.0,0.2,0.15000000000000002,0.060833333333333336,ASJP
Eleman,18,1.0,0.8333333333333334,0.6111111111111112,1.0,0.16666666666666663,0.09666666666666666,ASJP
Mirndi,10,0.5,0.3,0.0,0.7024999999999864,0.2,0.2891666666666667,ASJP
Huitotoan,10,0.8,0.6,0.2,1.0,0.20000000000000007,0.29333333333333333,ASJP
Atlantic-Congo,642,0.4735202492211838,0.45794392523364486,0.40654205607476634,0.5124610591900312,0.015576323987538943,0.30333333333333334,Lexibank
Nuclear Trans New Guinea,380,0.06842105263157895,0.018421052631578946,0.005263157894736842,0.03684210526315789,0.05,0.0,Lexibank
Chocoan,19,0.5263157894736842,0.47368421052631576,0.21052631578947367,0.7894736842105263,0.05263157894736842,0.4816666666666667,Lexibank
Mailuan,14,0.6428571428571429,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.07142857142857151,0.4841666666666667,Lexibank
Angan,13,0.6923076923076923,0.6153846153846154,0.3076923076923077,0.9230769230769231,0.07692307692307687,0.43166666666666664,Lexibank
Austronesian,978,0.23210633946830267,0.08793456032719836,0.06748466257668712,0.1114519427402863,0.1441717791411043,0.0,Lexibank
Nuclear-Macro-Je,13,0.23076923076923078,0.07692307692307693,0.0,0.38461538461538464,0.15384615384615385,0.20333333333333334,Lexibank
Eastern Trans-Fly,13,0.6153846153846154,0.46153846153846156,0.15384615384615385,0.8461538461538461,0.15384615384615385,0.29,Lexibank
