Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
Bororoan,1,1.0,0.0,0.0,1.0,1.0,0.3175
Arawan,1,1.0,0.0,0.0,1.0,1.0,0.375
Pele-Ata,1,1.0,0.0,0.0,1.0,1.0,0.345
North Bougainville,1,1.0,0.0,0.0,1.0,1.0,0.3416666666666667
Yareban,1,1.0,0.0,0.0,1.0,1.0,0.32166666666666666
Pidgin,1,1.0,0.0,0.0,1.0,1.0,0.37166666666666665
Kibiri,1,1.0,0.0,0.0,1.0,1.0,0.38666666666666666
Purari,1,1.0,0.0,0.0,1.0,1.0,0.365
Wiru,1,1.0,0.0,0.0,1.0,1.0,0.3525
Kwaza,2,1.0,0.5,0.0,1.0,0.5,0.2658333333333333
Hoti,3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.38
Pumé,3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.41583333333333333
Warao,3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.45166666666666666
Savosavo,3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.43916666666666665
Touo,3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.3333333333333333,0.4091666666666667
Manubaran,8,0.875,0.625,0.25,1.0,0.25,0.24833333333333332
Waorani,4,0.75,0.5,0.0,1.0,0.25,0.3775
Bilua,5,0.6,0.4,0.0,1.0,0.19999999999999996,0.495
Zaparoan,6,0.5,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666669,0.48583333333333334
Aymaran,6,0.6666666666666666,0.5,0.16666666666666666,1.0,0.16666666666666663,0.4041666666666667
Nuclear-Macro-Je,13,0.23076923076923078,0.07692307692307693,0.0,0.38461538461538464,0.15384615384615385,0.20333333333333334
Eastern Trans-Fly,13,0.6153846153846154,0.46153846153846156,0.15384615384615385,0.8461538461538461,0.15384615384615385,0.29
Austronesian,978,0.23210633946830267,0.08793456032719836,0.06748466257668712,0.1114519427402863,0.1441717791411043,0.0
Kiwaian,7,0.8571428571428571,0.7142857142857143,0.14285714285714285,1.0,0.1428571428571428,0.29333333333333333
Eleman,8,0.75,0.625,0.25,1.0,0.125,0.3883333333333333
Angan,13,0.6923076923076923,0.6153846153846154,0.3076923076923077,0.9230769230769231,0.07692307692307687,0.43166666666666664
Mailuan,14,0.6428571428571429,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.07142857142857151,0.4841666666666667
Chocoan,19,0.5263157894736842,0.47368421052631576,0.21052631578947367,0.7894736842105263,0.05263157894736842,0.4816666666666667
Nuclear Trans New Guinea,380,0.06842105263157895,0.018421052631578946,0.005263157894736842,0.03684210526315789,0.05,0.0
Uto-Aztecan,97,0.09278350515463918,0.05154639175257732,0.010309278350515464,0.1134020618556701,0.04123711340206186,0.09166666666666666
Otomanguean,88,0.8295454545454546,0.7954545454545454,0.6704545454545454,0.9090909090909091,0.03409090909090917,0.3358333333333333
Sino-Tibetan,494,0.07489878542510121,0.04251012145748988,0.024291497975708502,0.06680161943319839,0.032388663967611336,0.005
Indo-European,304,0.019736842105263157,0.003289473684210526,0.0,0.013157894736842105,0.01644736842105263,0.0008333333333333334
Atlantic-Congo,642,0.4735202492211838,0.45794392523364486,0.40654205607476634,0.5124610591900312,0.015576323987538943,0.30333333333333334
