Family,n_languages,n_exact_one,share_exact_one,mean_rate,median_n_total,mean_abs_latitude,database,share_of_all_boundary_languages
Atlantic-Congo,642,304,0.4735202492211838,0.8903535931818173,114.0,6.105536234683333,Lexibank,0.31899265477439664
Austronesian,978,227,0.23210633946830267,0.6280481627068293,200.0,13.281610741241357,Lexibank,0.23819517313746066
Otomanguean,88,73,0.8295454545454546,0.9675691423272341,117.0,17.302267022727275,Lexibank,0.07660020986358866
Tucanoan,75,49,0.6533333333333333,0.9935562838626195,249.0,0.65543704,Lexibank,0.05141657922350472
Arawakan,129,43,0.3333333333333333,0.93888598465775,115.0,5.241686651162791,Lexibank,0.04512067156348373
Sino-Tibetan,494,37,0.07489878542510121,0.7097254818507968,281.0,26.815805769190284,Lexibank,0.03882476390346275
Nuclear Trans New Guinea,380,26,0.06842105263157895,0.6055986710257848,297.5,5.59734469736842,Lexibank,0.02728226652675761
Pama-Nyungan,191,13,0.06806282722513089,0.7554884519150876,244.0,23.456643037990183,Lexibank,0.013641133263378805
Pano-Tacanan,36,11,0.3055555555555556,0.9328962288803184,505.5,10.3035175,Lexibank,0.011542497376705142
Tupian,137,11,0.08029197080291971,0.7390404324794745,239.0,11.223921313868614,Lexibank,0.011542497376705142
Chocoan,19,10,0.5263157894736842,0.9349644722410242,279.0,6.123436315789474,Lexibank,0.01049317943336831
Angan,13,9,0.6923076923076923,0.9920691481214521,103.0,7.158685384615385,Lexibank,0.00944386149003148
Mailuan,14,9,0.6428571428571429,0.9824540659460101,261.5,10.268939357142857,Lexibank,0.00944386149003148
Huitotoan,17,9,0.5294117647058824,0.976520427129388,220.0,1.7576852941176468,Lexibank,0.00944386149003148
Uto-Aztecan,97,9,0.09278350515463918,0.6578058607589196,135.0,30.322623494845363,Lexibank,0.00944386149003148
Boran,13,8,0.6153846153846154,0.9981801121738508,307.0,1.757742846153846,Lexibank,0.008394543546694649
Eastern Trans-Fly,13,8,0.6153846153846154,0.8101870614565005,151.0,9.100747311538461,Lexibank,0.008394543546694649
Manubaran,8,7,0.875,0.9993556701030928,238.5,9.702976249999999,Lexibank,0.007345225603357817
Kiwaian,7,6,0.8571428571428571,0.9984639016897081,121.0,8.00865,Lexibank,0.0062959076600209865
Eleman,8,6,0.75,0.9984140037593985,111.0,7.908244875,Lexibank,0.0062959076600209865
Indo-European,304,6,0.019736842105263157,0.44803657784538464,173.0,42.972286688157894,Lexibank,0.0062959076600209865
Mande,29,5,0.1724137931034483,0.9408542431724711,260.0,11.1512683908,Lexibank,0.005246589716684155
Aymaran,6,4,0.6666666666666666,0.9942481728714282,202.0,15.576666666666668,Lexibank,0.004197271773347324
Waorani,4,3,0.75,0.9983498349834984,287.5,1.12312,Lexibank,0.0031479538300104933
Bilua,5,3,0.6,0.9984050043728969,207.0,7.92388,Lexibank,0.0031479538300104933
Zaparoan,6,3,0.5,0.9810133927760963,219.0,2.4241,Lexibank,0.0031479538300104933
Koiarian,8,3,0.375,0.986811208144574,173.0,9.31420625,Lexibank,0.0031479538300104933
Nuclear-Macro-Je,13,3,0.23076923076923078,0.7060764350460682,230.0,17.09794,Lexibank,0.0031479538300104933
Afro-Asiatic,146,3,0.02054794520547945,0.606600825902941,419.5,13.764525630136987,Lexibank,0.0031479538300104933
Kwaza,2,2,1.0,1.0,268.0,11.6667,Lexibank,0.002098635886673662
Hoti,3,2,0.6666666666666666,0.9837037037037036,257.0,5.63879,Lexibank,0.002098635886673662
Pumé,3,2,0.6666666666666666,0.9963369963369964,273.0,7.10677,Lexibank,0.002098635886673662
Savosavo,3,2,0.6666666666666666,0.9990138067061144,239.0,9.12853,Lexibank,0.002098635886673662
Touo,3,2,0.6666666666666666,0.9979736575481256,329.0,8.58405,Lexibank,0.002098635886673662
Warao,3,2,0.6666666666666666,0.983739837398374,100.0,7.50851,Lexibank,0.002098635886673662
Yanomamic,8,2,0.25,0.9024407607302929,258.5,3.1195175,Lexibank,0.002098635886673662
Bosavi,9,2,0.2222222222222222,0.8897857194213492,134.0,6.3783433333333335,Lexibank,0.002098635886673662
East Strickland,9,2,0.2222222222222222,0.9118336103551982,137.0,6.2452322222222225,Lexibank,0.002098635886673662
Guahiboan,14,2,0.14285714285714285,0.7525134773533042,211.0,5.723828571428571,Lexibank,0.002098635886673662
Japonic,31,2,0.06451612903225806,0.7570810059935732,240.0,29.73138083870968,Lexibank,0.002098635886673662
Arawan,1,1,1.0,1.0,257.0,7.62223,Lexibank,0.001049317943336831
Bororoan,1,1,1.0,1.0,238.0,16.6029,Lexibank,0.001049317943336831
Kibiri,1,1,1.0,1.0,100.0,7.45276,Lexibank,0.001049317943336831
North Bougainville,1,1,1.0,1.0,267.0,5.94339,Lexibank,0.001049317943336831
Pele-Ata,1,1,1.0,1.0,243.0,5.58045,Lexibank,0.001049317943336831
