Family,n_languages,n_words,mean_abs_latitude
Austronesian,978,218840,13.281610741241357
Atlantic-Congo,642,157076,6.105536234683333
Sino-Tibetan,494,199692,26.815805769190284
Nuclear Trans New Guinea,380,94306,5.59734469736842
Indo-European,304,128289,42.972286688157894
Pama-Nyungan,191,45855,23.456643037990183
Austroasiatic,184,49866,15.251375711956522
Afro-Asiatic,146,62239,13.764525630136987
Tupian,137,41269,11.223921313868614
Arawakan,129,25521,5.241686651162791
Turkic,110,46562,46.08775154545455
Uto-Aztecan,97,18203,30.322623494845363
Otomanguean,88,15965,17.302267022727275
Tucanoan,75,19549,0.65543704
Tai-Kadai,73,54434,22.338986784931507
Nakh-Daghestanian,67,97887,42.17143505970149
Uralic,66,52587,60.44439359307273
Dogon,62,26096,14.635192471774193
Quechuan,43,8420,9.435525069767442
Tungusic,40,14684,51.1500714
Pano-Tacanan,36,21603,10.3035175
Chibchan,34,6355,9.51004294117647
Timor-Alor-Pantar,33,7305,8.309940909090908
Japonic,31,9569,29.73138083870968
Koreanic,30,7004,37.36678766666667
Hmong-Mien,30,23275,25.4428158
Mande,29,7163,11.1512683908
Cariban,26,10030,4.888193461538462
Dravidian,23,6124,14.990366
Chocoan,19,6036,6.123436315789474
Mongolic-Khitan,17,7215,42.90145882352941
Lakes Plain,17,3599,2.941664117647059
Huitotoan,17,4563,1.7576852941176468
Guahiboan,14,3651,5.723828571428571
Ainu,14,3721,43.19891978571429
Barbacoan,14,5295,1.2403221428571427
Mailuan,14,3321,10.268939357142857
Anim,14,2457,7.013055714285714
Eastern Trans-Fly,13,1836,9.100747311538461
Angan,13,1482,7.158685384615385
Boran,13,4254,1.757742846153846
Nuclear-Macro-Je,13,4591,17.09794
Lower Sepik,12,2025,4.209579166666667
Guaicuruan,12,5908,25.482994533333336
Mixe-Zoque,12,1459,17.408533333333335
Mataguayan,12,8451,23.207925
Salishan,12,2775,49.305692666666666
Burushaski,11,2888,36.32879169090909
Chapacuran,10,1493,10.863024
Chicham,10,3466,4.173958000000001
East Strickland,9,1306,6.2452322222222225
Bosavi,9,1216,6.3783433333333335
Nyulnyulan,9,1882,17.229807666666666
Bookkeeping,9,3970,22.663150375555556
Cochimi-Yuman,8,1869,33.30605
Koiarian,8,1490,9.31420625
Eleman,8,1027,7.908244875
Manubaran,8,1766,9.702976249999999
Yanomamic,8,3339,3.1195175
Sepik,8,1361,4.35351875
Kiwaian,7,967,8.00865
Ndu,7,1011,4.11142
Keram,7,1150,4.265998571428572
Border,7,809,3.2134014285714287
Miwok-Costanoan,7,1916,38.200047142857144
West Bird's Head,7,1295,1.333952857142857
Wakashan,7,1963,51.035110028571424
Naduhup,7,2714,0.41110671428571427
Athabaskan-Eyak-Tlingit,7,2348,49.87311428571429
Misumalpan,6,809,14.379199999999999
Aymaran,6,1954,15.576666666666668
Lengua-Mascoy,6,4992,22.680073333333336
Chumashan,6,1431,34.534283333333335
Saharan,6,2906,12.8178
Saliban,6,1348,5.006783333333334
Zaparoan,6,1266,2.4241
Puinave,5,2096,3.92974
North Halmahera,5,1179,0.961476
Baining,5,1173,4.649924
Araucanian,5,3365,38.591519999999996
Left May,5,869,4.2951999999999995
Kakua-Nukak,5,1055,1.5964240000000003
Berta,5,994,10.023638199999999
Piawi,5,567,5.113832
South Bird's Head,5,929,2.08007
Songhay,5,1430,14.96304666
Kru,5,1455,5.718688
Eskimo-Aleut,5,3147,64.77762
Bilua,5,1257,7.92388
Uru-Chipaya,5,2089,18.167706
Páez,5,2312,2.61516
Abkhaz-Adyge,4,2396,43.80455
Zuni,4,1484,35.0056
Waorani,4,1941,1.12312
Kiowa-Tanoan,4,570,35.44286675
Dagan,4,820,9.837745
Haida,4,1655,53.985268649999995
Zamucoan,4,2279,19.562527499999998
Tsimshian,4,1454,53.22712625
Movima,4,2050,13.8115
Basque,4,3112,43.279025000000004
Mayan,4,3773,15.684975
Jarrakan,4,883,16.74745
Maybratic,4,804,1.2165949999999999
Mosetén-Chimané,4,2454,14.78686
Peba-Yagua,4,2569,3.42913
Abun,3,563,0.57073
Trumai,3,1109,11.8119
Touo,3,938,8.58405
Tor-Orya,3,764,2.4343033333333333
Ticuna-Yuri,3,497,3.6628899999999995
Turama-Kikori,3,449,7.26166
Chinookan,3,552,45.67856666666666
Seri,3,1849,28.9877
Savosavo,3,759,9.12853
Nuclear Torricelli,3,573,3.7558139999999995
Isolate,3,751,5.372827766666666
Pumé,3,1678,7.10677
Ijoid,3,686,4.934023333333333
Hoti,3,1454,5.63879
Gunwinyguan,3,566,13.7898
Fasu,3,528,6.62687
Fuyug,3,539,8.6371
Candoshi-Shapra,3,588,4.23835
Cofán,3,2040,0.276675
Chonan,3,1962,49.71973333333333
Chukotko-Kamchatkan,3,1911,60.488724333333344
Taushiro,3,520,3.2249700000000003
Salinan,3,628,37.6646
Kartvelian,3,1478,41.85026466666667
Kayagaric,3,294,6.430976666666666
Yuki-Wappo,3,823,38.77963333333333
Yukaghir,3,1969,66.32266666666668
Yuat,3,545,4.5778566666666665
Yokutsan,3,623,36.06338066666667
Yeniseian,3,2439,63.838366666666666
Lencan,3,391,13.719266666666668
Lavukaleve,3,742,9.05569
Kwalean,3,767,9.695323333333333
Maiduan,3,757,38.83473333333333
Kamula-Elevala,3,556,7.014913333333333
Camsá,3,683,1.14537
Cahuapanan,3,551,5.5594833333333336
West Bomberai,3,1590,3.250246666666667
Warao,3,439,7.50851
Bunaban,3,593,18.214766666666666
Urarina,3,640,4.44006
Bangime,2,554,14.805800000000001
Walioic,2,190,4.496835000000001
Washo,2,466,38.8184
Wintuan,2,566,39.7176
Geelvink Bay,2,394,2.496405
Pauwasi,2,220,3.51178
Nilotic,2,370,2.03743
Kunimaipan,2,252,8.09371
Kunza,2,1113,23.0
Kuot,2,482,3.06952
Muniche,2,321,5.7441796
Muskogean,2,382,32.33334
Nubian,2,2016,11.6432
Nivkh,2,1162,52.59
Kaure-Kosare,2,406,3.58968
Karuk,2,1124,41.8228
Khoe-Kwadi,2,343,25.0747
Kawesqar,2,871,49.303195
Maningrida,2,464,12.191315
Kusunda,2,451,28.0
Kwaza,2,536,11.6667
Kxa,2,371,18.97775
Yámana,2,958,55.2748
East Bird's Head,2,459,1.1135549999999999
Suki-Gogodala,2,195,8.020265
Tarascan,2,304,19.39295
Algic,2,382,50.19395
Teberan,2,311,6.65765
Amto-Musan,2,200,4.087384999999999
Sko,2,324,2.858205
South Bougainville,2,358,6.70051
Sahaptian,2,483,46.224999999999994
Sentanic,2,312,2.6013
Senagi,2,312,3.52309
Sandawe,2,332,5.26918
Cayubaba,2,1377,13.2482
Iroquoian,2,346,39.452571
Puelche,2,998,42.223
Itonama,2,1129,12.80431
Totonacan,2,347,20.5165
Central Sudanic,2,460,10.4589
Esselen,2,240,36.5473
Arafundi,1,90,4.77763
Andaqui,1,137,2.74999
Andoque,1,195,0.53751
Wiru,1,143,6.35863
Western Daly,1,197,13.6754
Bororoan,1,238,16.6029
Wageman,1,216,13.8627
Caddoan,1,262,36.2862
Usku,1,86,3.63853
Bogaya,1,194,5.54487
Arawan,1,257,7.62223
Atakapa,1,263,30.9121
Blue Nile Mao,1,251,9.82554
Yawa-Saweru,1,274,1.77196
Yareban,1,257,9.50651
Yangmanic,1,248,14.4964
Yana,1,245,39.2769
Yale,1,97,3.79762
Worrorran,1,255,16.4006
Kehu,1,266,3.19328
Kanoê,1,205,12.1789
Jicaquean,1,133,14.6686
Kadugli-Krongo,1,272,10.8423
Jarawa-Onge,1,161,11.6089
Nambiquaran,1,216,14.3707
Natchez,1,257,31.75
Máku,1,100,3.969231
Katla-Tima,1,251,11.7176
Katukinan,1,89,6.45399
Koman,1,206,9.16012
Kol (Papua New Guinea),1,212,5.21042
Klamath-Modoc,1,263,42.5861
Kibiri,1,100,7.45276
Kaki Ae,1,231,7.9946
Mirndi,1,251,17.165
Mangarrayi-Maran,1,239,15.5458
Mairasic,1,162,3.4511
Molof,1,85,3.41946
Lule,1,205,25.221839
Maban,1,240,9.7154
Lule-Vilela,1,295,25.22
Limilngan-Wulna,1,188,12.4294
Yuracaré,1,219,16.7479
Yele,1,248,11.3796
Yetfa,1,108,4.05884
Gumuz,1,204,11.05
Great Andamanese,1,254,11.67
Garrwan,1,176,17.4504
Gaagudju,1,223,12.5176
Elseng,1,107,3.00176
Furan,1,144,12.0455
Papi,1,103,4.4725
Pawaia,1,284,6.88021
Ongota,1,206,5.29807
Paezan,1,99,2.61516
Palaihnihan,1,263,41.0979
Pahoturi,1,1128,8.957786
Odiai,1,84,3.82276
Nara,1,190,15.3251
Nimboranic,1,158,2.5803
North Bougainville,1,267,5.94339
Namla-Tofanma,1,86,3.74322
Kuliak,1,243,2.58367
Pomoan,1,183,38.7643
Pele-Ata,1,243,5.58045
Iwaidjan Proper,1,225,11.66
Huarpean,1,131,33.480938
Huavean,1,264,16.2129
ISOLATE_OR_UNKNOWN,1,129,47.5422
Shastan,1,94,41.7587
Pirahã,1,197,6.77713
Pidgin,1,152,9.33333
Hadza,1,198,3.83115
Hruso,1,210,27.27
Harakmbut,1,258,12.4931
Hatam-Mansim,1,204,1.13531
Heibanic,1,213,10.9194
Chimakuan,1,260,47.9106
Canichana,1,87,14.3058
Siouan,1,281,46.3699
Shom Peng,1,192,7.02099
Ramu,1,113,4.56615
Pyu,1,129,4.45003
Purari,1,99,7.59133
Dajuic,1,198,10.8525
East Kutubu,1,99,6.47258
Eastern Jebel,1,194,11.4674
South Omotic,1,250,6.20951
Coosan,1,122,43.4413
Dibiyaso,1,181,7.82096
Dizoid,1,244,7.05022
Duna,1,138,5.41439
Cuitlatec,1,119,18.1
Surmic,1,241,6.03205
Sumerian,1,231,31.3
Sulka,1,154,5.03471
Southern Daly,1,177,14.74852
Elamite,1,777,31.1833
Tangkic,1,249,17.0695
Ta-Ne-Omotic,1,227,7.27424
Tabo,1,148,8.09387
Tequistlatecan,1,256,16.1849
Tauade,1,305,8.3486
Takelma,1,203,42.423
Timucua,1,216,30.3027
Tunica,1,255,30.9888
Tiwi,1,265,11.6308
Tuu,1,243,24.20022
Alsea-Yaquina,1,227,44.408
