analysis,parameter,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0
ASJP primary,beta_lat,-0.18992579180975422,-0.20272149206432105,-0.17702068445932334,1.0,0.0
ASJP hemisphere interaction: North,beta_lat_north,-0.25814973661793006,-0.2727743588656125,-0.2433451980943923,1.0,0.0
ASJP hemisphere interaction: South,beta_lat_south,0.5774433544776524,0.5418010235662315,0.6129658111766948,0.0,1.0
ASJP between-family,beta_between,-0.511531194302673,-0.6484571953249488,-0.3768835422663436,1.0,0.0
ASJP within-family,beta_within,-0.08335926121976088,-0.08906689562899484,-0.07772936501417795,1.0,0.0
ASJP family + macroarea,beta_lat,-0.16741394599961784,-0.18184681545868556,-0.15281455387726012,1.0,0.0
ASJP initial position,beta_lat_initial,0.00874151849052754,-0.025926302610749078,0.04391394719774289,0.3085,0.6915
ASJP final position,beta_lat_final,-0.25679866994404643,-0.2914067845676328,-0.22233362220762987,1.0,0.0
ASJP final-minus-initial,beta_lat_final_delta,-0.26562914109405117,-0.2754829615908224,-0.25608736954520783,1.0,0.0
ASJP North-only,beta_lat,-0.3564489796366766,-0.3729006316960185,-0.33947734002909724,1.0,0.0
ASJP South-only,beta_lat,0.38192850939308964,0.36232505978591606,0.4012437605550126,0.0,1.0
Lexibank final replication,beta_lat,-0.06861247852079788,-0.07685259819514859,-0.06011397590596472,1.0,0.0
